userId,itemId,rank
0.0,563.0,1.0
0.0,775.0,2.0
0.0,1357.0,3.0
0.0,299.0,4.0
0.0,921.0,5.0
0.0,1445.0,6.0
0.0,1304.0,7.0
0.0,500.0,8.0
0.0,1053.0,9.0
0.0,332.0,10.0
1.0,1447.0,1.0
1.0,1489.0,2.0
1.0,1523.0,3.0
1.0,1122.0,4.0
1.0,1137.0,5.0
1.0,233.0,6.0
1.0,725.0,7.0
1.0,697.0,8.0
1.0,1584.0,9.0
1.0,1074.0,10.0
2.0,722.0,1.0
2.0,263.0,2.0
2.0,572.0,3.0
2.0,1518.0,4.0
2.0,1263.0,5.0
2.0,1347.0,6.0
2.0,1590.0,7.0
2.0,1649.0,8.0
2.0,131.0,9.0
2.0,742.0,10.0
3.0,1157.0,1.0
3.0,807.0,2.0
3.0,39.0,3.0
3.0,1142.0,4.0
3.0,1346.0,5.0
3.0,1201.0,6.0
3.0,303.0,7.0
3.0,609.0,8.0
3.0,662.0,9.0
3.0,951.0,10.0
4.0,1478.0,1.0
4.0,1572.0,2.0
4.0,834.0,3.0
4.0,939.0,4.0
4.0,1647.0,5.0
4.0,248.0,6.0
4.0,1033.0,7.0
4.0,1103.0,8.0
4.0,1385.0,9.0
4.0,1471.0,10.0
5.0,279.0,1.0
5.0,1529.0,2.0
5.0,1275.0,3.0
5.0,892.0,4.0
5.0,1590.0,5.0
5.0,1278.0,6.0
5.0,1201.0,7.0
5.0,1058.0,8.0
5.0,536.0,9.0
5.0,638.0,10.0
6.0,927.0,1.0
6.0,1176.0,2.0
6.0,973.0,3.0
6.0,705.0,4.0
6.0,747.0,5.0
6.0,381.0,6.0
6.0,1554.0,7.0
6.0,1173.0,8.0
6.0,1553.0,9.0
6.0,955.0,10.0
7.0,1665.0,1.0
7.0,1031.0,2.0
7.0,1164.0,3.0
7.0,1442.0,4.0
7.0,1075.0,5.0
7.0,1629.0,6.0
7.0,160.0,7.0
7.0,1133.0,8.0
7.0,15.0,9.0
7.0,437.0,10.0
8.0,1279.0,1.0
8.0,1312.0,2.0
8.0,948.0,3.0
8.0,1283.0,4.0
8.0,572.0,5.0
8.0,1267.0,6.0
8.0,525.0,7.0
8.0,1150.0,8.0
8.0,1668.0,9.0
8.0,1644.0,10.0
9.0,653.0,1.0
9.0,687.0,2.0
9.0,173.0,3.0
9.0,1288.0,4.0
9.0,762.0,5.0
9.0,616.0,6.0
9.0,524.0,7.0
9.0,75.0,8.0
9.0,787.0,9.0
9.0,911.0,10.0
10.0,1633.0,1.0
10.0,597.0,2.0
10.0,1602.0,3.0
10.0,747.0,4.0
10.0,1615.0,5.0
10.0,847.0,6.0
10.0,1210.0,7.0
10.0,1351.0,8.0
10.0,1172.0,9.0
10.0,1399.0,10.0
11.0,1283.0,1.0
11.0,934.0,2.0
11.0,1326.0,3.0
11.0,1486.0,4.0
11.0,1593.0,5.0
11.0,1030.0,6.0
11.0,20.0,7.0
11.0,585.0,8.0
11.0,662.0,9.0
11.0,132.0,10.0
12.0,986.0,1.0
12.0,1458.0,2.0
12.0,1411.0,3.0
12.0,1487.0,4.0
12.0,1578.0,5.0
12.0,687.0,6.0
12.0,1502.0,7.0
12.0,1640.0,8.0
12.0,1582.0,9.0
12.0,605.0,10.0
13.0,259.0,1.0
13.0,1389.0,2.0
13.0,667.0,3.0
13.0,1478.0,4.0
13.0,509.0,5.0
13.0,1573.0,6.0
13.0,1256.0,7.0
13.0,1340.0,8.0
13.0,897.0,9.0
13.0,756.0,10.0
14.0,1538.0,1.0
14.0,1062.0,2.0
