userId,itemId,rank
0.0,366.0,1.0
0.0,33.0,2.0
0.0,148.0,3.0
0.0,247.0,4.0
0.0,133.0,5.0
0.0,68.0,6.0
0.0,491.0,7.0
0.0,367.0,8.0
0.0,226.0,9.0
0.0,404.0,10.0
1.0,141.0,1.0
1.0,278.0,2.0
1.0,97.0,3.0
1.0,98.0,4.0
1.0,73.0,5.0
1.0,268.0,6.0
1.0,79.0,7.0
1.0,862.0,8.0
1.0,102.0,9.0
1.0,401.0,10.0
2.0,47.0,1.0
2.0,557.0,2.0
2.0,12.0,3.0
2.0,231.0,4.0
2.0,339.0,5.0
2.0,145.0,6.0
2.0,219.0,7.0
2.0,408.0,8.0
2.0,978.0,9.0
2.0,65.0,10.0
3.0,181.0,1.0
3.0,514.0,2.0
3.0,856.0,3.0
3.0,531.0,4.0
3.0,895.0,5.0
3.0,61.0,6.0
3.0,57.0,7.0
3.0,92.0,8.0
3.0,622.0,9.0
3.0,230.0,10.0
4.0,274.0,1.0
4.0,130.0,2.0
4.0,630.0,3.0
4.0,117.0,4.0
4.0,511.0,5.0
4.0,269.0,6.0
4.0,104.0,7.0
4.0,860.0,8.0
4.0,339.0,9.0
4.0,360.0,10.0
5.0,99.0,1.0
5.0,254.0,2.0
5.0,191.0,3.0
5.0,57.0,4.0
5.0,154.0,5.0
5.0,1028.0,6.0
5.0,66.0,7.0
5.0,112.0,8.0
5.0,140.0,9.0
5.0,29.0,10.0
6.0,239.0,1.0
6.0,629.0,2.0
6.0,347.0,3.0
6.0,501.0,4.0
6.0,371.0,5.0
6.0,476.0,6.0
6.0,94.0,7.0
6.0,432.0,8.0
6.0,506.0,9.0
6.0,561.0,10.0
7.0,311.0,1.0
7.0,135.0,2.0
7.0,140.0,3.0
7.0,307.0,4.0
7.0,359.0,5.0
7.0,936.0,6.0
7.0,438.0,7.0
7.0,860.0,8.0
7.0,53.0,9.0
7.0,209.0,10.0
8.0,1016.0,1.0
8.0,471.0,2.0
8.0,504.0,3.0
8.0,351.0,4.0
8.0,629.0,5.0
8.0,913.0,6.0
8.0,475.0,7.0
8.0,330.0,8.0
8.0,502.0,9.0
8.0,3.0,10.0
9.0,339.0,1.0
9.0,238.0,2.0
9.0,367.0,3.0
9.0,125.0,4.0
9.0,319.0,5.0
9.0,433.0,6.0
9.0,390.0,7.0
9.0,401.0,8.0
9.0,320.0,9.0
9.0,647.0,10.0
10.0,758.0,1.0
10.0,931.0,2.0
10.0,333.0,3.0
10.0,220.0,4.0
10.0,587.0,5.0
10.0,656.0,6.0
10.0,818.0,7.0
10.0,135.0,8.0
10.0,1016.0,9.0
10.0,1018.0,10.0
11.0,293.0,1.0
11.0,557.0,2.0
11.0,467.0,3.0
11.0,204.0,4.0
11.0,365.0,5.0
11.0,350.0,6.0
11.0,492.0,7.0
11.0,607.0,8.0
11.0,86.0,9.0
11.0,91.0,10.0
12.0,106.0,1.0
12.0,864.0,2.0
12.0,62.0,3.0
12.0,239.0,4.0
12.0,571.0,5.0
12.0,84.0,6.0
12.0,82.0,7.0
12.0,530.0,8.0
12.0,196.0,9.0
12.0,145.0,10.0
13.0,309.0,1.0
13.0,118.0,2.0
13.0,34.0,3.0
13.0,53.0,4.0
13.0,26.0,5.0
13.0,435.0,6.0
13.0,599.0,7.0
13.0,231.0,8.0
13.0,329.0,9.0
13.0,173.0,10.0
14.0,465.0,1.0
14.0,120.0,2.0
14.0,60.0,3.0
14.0,552.0,4.0
14.0,864.0,5.0
14.0,273.0,6.0
14.0,293.0,7.0
14.0,40.0,8.0
14.0,275.0,9.0
14.0,390.0,10.0
15.0,1006.0,1.0
15.0,730.0,2.0
15.0,310.0,3.0
15.0,799.0,4.0
15.0,1240.0,5.0
15.0,660.0,6.0
15.0,36.0,7.0
15.0,390.0,8.0
15.0,271.0,9.0
15.0,449.0,10.0
16.0,299.0,1.0
16.0,1016.0,2.0
16.0,754.0,3.0
16.0,53.0,4.0
16.0,473.0,5.0
16.0,610.0,6.0
16.0,740.0,7.0
16.0,472.0,8.0
16.0,125.0,9.0
16.0,181.0,10.0
17.0,474.0,1.0
17.0,150.0,2.0
17.0,34.0,3.0
17.0,328.0,4.0
17.0,340.0,5.0
17.0,801.0,6.0
17.0,307.0,7.0
17.0,79.0,8.0
17.0,888.0,9.0
17.0,91.0,10.0
18.0,168.0,1.0
18.0,523.0,2.0
18.0,465.0,3.0
18.0,240.0,4.0
18.0,93.0,5.0
18.0,740.0,6.0
18.0,172.0,7.0
18.0,1006.0,8.0
18.0,809.0,9.0
18.0,215.0,10.0
19.0,158.0,1.0
19.0,58.0,2.0
19.0,936.0,3.0
19.0,1069.0,4.0
19.0,979.0,5.0
19.0,203.0,6.0
19.0,594.0,7.0
19.0,449.0,8.0
19.0,557.0,9.0
19.0,535.0,10.0
20.0,861.0,1.0
20.0,43.0,2.0
20.0,274.0,3.0
20.0,456.0,4.0
20.0,104.0,5.0
20.0,48.0,6.0
20.0,174.0,7.0
20.0,336.0,8.0
20.0,298.0,9.0
20.0,141.0,10.0
21.0,321.0,1.0
21.0,571.0,2.0
21.0,238.0,3.0
21.0,550.0,4.0
21.0,355.0,5.0
21.0,288.0,6.0
21.0,158.0,7.0
21.0,498.0,8.0
21.0,125.0,9.0
21.0,695.0,10.0
22.0,299.0,1.0
22.0,359.0,2.0
22.0,6.0,3.0
22.0,92.0,4.0
22.0,98.0,5.0
22.0,333.0,6.0
22.0,801.0,7.0
22.0,492.0,8.0
22.0,291.0,9.0
22.0,607.0,10.0
23.0,405.0,1.0
23.0,114.0,2.0
23.0,408.0,3.0
23.0,531.0,4.0
23.0,147.0,5.0
23.0,420.0,6.0
23.0,319.0,7.0
23.0,896.0,8.0
23.0,133.0,9.0
23.0,844.0,10.0
24.0,573.0,1.0
24.0,474.0,2.0
24.0,583.0,3.0
24.0,746.0,4.0
